127.0.0.1 - - [24/Apr/2019:12:31:37 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:31:38 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:32:48 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:32:48 +0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:33:10 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:51:11 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:52:04 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:52:39 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:53:02 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:53:15 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:54:24 +0200] "GET /05_Web/inicio.html HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [24/Apr/2019:12:59:59 +0200] "GET /05_Web/texto.txt HTTP/1.1" 200 27
